method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1Lex,72718.5,0,3,2,3,49,0.27987909317,1,137,17.9124087591,1,139,989.448153714,204
1Lex,72719.0,0,3,2,4,46,0.281549930573,1,137,17.700729927,1,139,982.417131816,205
1Lex,73104.0,0,3,2,5,50,0.280463933945,1,137,17.6423357664,1,139,975.790253328,206
1Lex,73041.5,0,3,2,6,38,0.278460979462,1,137,17.6496350365,1,139,975.964577072,207
1Lex,72965.5,0,3,2,7,66,0.280261039734,1,137,17.9343065693,1,139,965.253005582,208
1Lex,72686.5,0,3,2,8,45,0.281245946884,1,137,17.5255474453,1,139,982.41294547,209
1Lex,72754.0,0,3,2,9,45,0.279745101929,1,137,17.8321167883,1,139,984.420137398,210
1Lex,72811.0,0,3,3,0,67,0.281772136688,1,137,18.0218978102,1,139,984.286281666,211
1Lex,72721.5,0,3,3,1,50,0.281854867935,1,137,18.3503649635,1,139,1047.44987119,212
1Lex,72737.5,0,3,3,2,50,0.283384084702,1,137,18.197080292,1,139,983.777050236,213
1Lex,72695.5,0,3,3,3,44,0.277981996536,1,137,17.2481751825,1,139,978.982073851,214
1Lex,72713.5,0,3,3,4,56,0.281002044678,1,137,17.7372262774,1,139,969.87161872,215
1Lex,73132.5,0,3,3,5,51,0.27895283699,1,137,17.9635036496,1,139,999.564834693,216
1Lex,72809.0,0,3,3,6,55,0.282091140747,1,137,18.2481751825,1,139,1010.57030915,217
1Lex,72702.5,0,3,3,7,48,0.28431892395,1,137,17.5620437956,1,139,979.453842851,218
1Lex,72784.0,0,3,3,8,56,0.280315876007,1,137,17.802919708,1,139,996.100579648,219
1Lex,72633.5,0,3,3,9,46,0.281128883362,1,137,17.3576642336,1,139,979.319665092,220
1Lex,72743.0,0,3,4,0,54,0.28147315979,1,137,18.0291970803,1,139,986.425611851,221
1Lex,72781.0,0,3,4,1,58,0.280287981033,1,137,18.2919708029,1,139,992.855302705,222
1Lex,72788.5,0,3,4,2,61,0.28205704689,1,137,18.0510948905,1,139,971.681193645,223
1Lex,72728.5,0,3,4,3,61,0.280654191971,1,137,17.8613138686,1,139,970.767389438,224
1Lex,72770.0,0,3,4,4,63,0.280997037888,1,137,17.7591240876,1,139,974.360669815,225
1Lex,72734.0,0,3,4,5,64,0.281426906586,1,137,18.1532846715,1,139,980.101331043,226
1Lex,72696.0,0,3,4,6,64,0.2790620327,1,137,17.5255474453,1,139,964.898239588,227
1Lex,72980.0,0,3,4,7,54,0.279793024063,1,137,17.8102189781,1,139,970.37548304,228
1Lex,72861.0,0,3,4,8,55,0.281212091446,1,137,17.4671532847,1,139,875.515457278,229
1Lex,72847.5,0,3,4,9,52,0.27911400795,1,137,17.5547445255,1,139,971.557642765,230
1Lex,72697.0,0,3,5,0,51,0.285686016083,1,137,18.2773722628,1,139,985.87838128,231
1Lex,72773.0,0,3,5,1,41,0.276312112808,1,137,17.1459854015,1,139,980.757943323,232
1Lex,72707.0,0,3,5,2,48,0.282749176025,1,137,17.5547445255,1,139,970.763525118,233
