method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
3,0.0,0,5,4,8,-1,0.0881369113922,1,1,0.0,0,0,nan,1047
1,72900.5,0,5,4,9,93,0.650485992432,1,137,15.1678832117,1,139,868.287784457,1048
2,0.0,0,5,4,9,-1,0.0993208885193,1,1,0.0,0,0,nan,1049
3,0.0,0,5,4,9,-1,0.0781347751617,1,1,0.0,0,0,nan,1050
1,72568.0,0,5,5,0,88,0.64466714859,1,137,14.0729927007,0,139,736.038750537,1051
2,0.0,0,5,5,0,-1,0.0840899944305,1,1,0.0,0,0,nan,1052
3,0.0,0,5,5,0,-1,0.11744594574,1,1,0.0,0,0,nan,1053
1,72350.0,0,5,5,1,91,0.649684906006,1,137,13.2189781022,1,139,628.613460713,1054
2,0.0,0,5,5,1,-1,0.0832488536835,1,1,0.0,0,0,nan,1055
3,0.0,0,5,5,1,-1,0.0996589660645,1,1,0.0,0,0,nan,1056
1,72420.0,0,5,5,2,92,0.641503095627,1,137,13.2408759124,0,139,632.595963933,1057
2,71831.5,0,5,5,2,81,0.62667298317,1,137,16.8467153285,1,139,1050.7189781,1058
3,0.0,0,5,5,2,-1,0.0801849365234,1,1,0.0,0,0,nan,1059
1,72356.0,0,5,5,3,101,0.671206951141,1,137,13.503649635,1,139,643.119471876,1060
2,0.0,0,5,5,3,-1,0.0872418880463,1,1,0.0,0,0,nan,1061
3,73603.6,0,5,5,3,71,0.633996963501,1,137,16.7299270073,1,139,1051.11034779,1062
1,72516.5,0,5,5,4,86,0.666933059692,1,137,14.3357664234,1,139,645.930549592,1063
2,0.0,0,5,5,4,-1,0.0793399810791,1,1,0.0,0,0,nan,1064
3,0.0,0,5,5,4,-1,0.0900659561157,1,1,0.0,0,0,nan,1065
1,72523.0,0,5,5,5,85,0.640867948532,1,137,13.6277372263,1,139,559.17657793,1066
2,0.0,0,5,5,5,-1,0.0983710289001,1,1,0.0,0,0,nan,1067
3,0.0,0,5,5,5,-1,0.0816309452057,1,1,0.0,0,0,nan,1068
1,72794.5,0,5,5,6,85,0.645816087723,1,137,14.7153284672,0,139,749.71983684,1069
2,0.0,0,5,5,6,-1,0.0995798110962,1,1,0.0,0,0,nan,1070
3,0.0,0,5,5,6,-1,0.0848751068115,1,1,0.0,0,0,nan,1071
1,72429.5,0,5,5,7,95,0.649566173553,1,137,13.4890510949,0,139,543.78112924,1072
2,0.0,0,5,5,7,-1,0.084685087204,1,1,0.0,0,0,nan,1073
3,70987.0,0,5,5,7,68,0.640346050262,1,137,17.4379562044,1,139,1051.86560756,1074
1,72352.5,0,5,5,8,84,0.64541387558,1,137,14.6131386861,1,139,764.268355517,1075
2,0.0,0,5,5,8,-1,0.0826110839844,1,1,0.0,0,0,nan,1076
3,0.0,0,5,5,8,-1,0.102419137955,1,1,0.0,0,0,nan,1077
1,72599.5,0,5,5,9,107,0.641660928726,1,137,13.8321167883,0,139,658.581902104,1078
2,0.0,0,5,5,9,-1,0.0850429534912,1,1,0.0,0,0,nan,1079
3,0.0,0,5,5,9,-1,0.0985169410706,1,1,0.0,0,0,nan,1080
1,72299.0,1,0,0,0,87,0.654552936554,1,137,12.7445255474,1,139,624.441605839,1081
2,0.0,1,0,0,0,-1,0.0794429779053,1,1,0.0,0,0,nan,1082
3,70836.0,1,0,0,0,54,0.634119033813,1,137,16.1751824818,1,139,1024.89555603,1083
1,72329.5,1,0,0,1,72,0.676784992218,1,137,12.9562043796,1,139,634.218656076,1084
2,70831.0,1,0,0,1,58,0.628777980804,1,137,15.2189781022,1,139,912.289931301,1085
3,70839.5,1,0,0,1,63,0.660571813583,1,137,16.0437956204,1,139,1032.63042078,1086
1,72305.5,1,0,0,2,93,0.658544063568,1,137,12.8467153285,1,139,620.366036926,1087
2,70819.0,1,0,0,2,56,0.623029947281,1,137,15.0948905109,1,139,914.042400172,1088
3,70838.0,1,0,0,2,49,0.638194084167,1,137,15.7664233577,1,139,936.606805496,1089
1,72289.0,1,0,0,3,82,0.673432826996,1,137,11.8832116788,1,139,510.662730786,1090
2,70822.0,1,0,0,3,51,0.645019054413,1,137,15.0145985401,1,139,907.176255904,1091
3,70842.0,1,0,0,3,59,0.658639192581,1,137,16.1678832117,1,139,1033.06719622,1092
1,72264.5,1,0,0,4,77,0.653779983521,1,137,12.897810219,1,139,615.710068699,1093
2,0.0,1,0,0,4,-1,0.0850038528442,1,1,0.0,0,0,nan,1094
3,0.0,1,0,0,4,-1,0.0811409950256,1,1,0.0,0,0,nan,1095
1,72334.5,1,0,0,5,89,0.658812046051,1,137,13.8102189781,0,139,743.37548304,1096
2,0.0,1,0,0,5,-1,0.0839071273804,1,1,0.0,0,0,nan,1097
3,0.0,1,0,0,5,-1,0.0975549221039,1,1,0.0,0,0,nan,1098
1,72300.0,1,0,0,6,78,0.65546298027,1,137,12.6569343066,1,139,548.124087591,1099
2,0.0,1,0,0,6,-1,0.0844278335571,1,1,0.0,0,0,nan,1100
3,0.0,1,0,0,6,-1,0.0876669883728,1,1,0.0,0,0,nan,1101
1,72323.0,1,0,0,7,78,0.659720897675,1,137,13.9781021898,0,139,741.080399313,1102
2,70829.0,1,0,0,7,42,0.656033039093,1,137,15.6423357664,1,139,933.30495921,1103
3,0.0,1,0,0,7,-1,0.0865521430969,1,1,0.0,0,0,nan,1104
1,72309.0,1,0,0,8,86,0.681163787842,0,137,12.6423357664,1,139,633.819665092,1105
2,70840.0,1,0,0,8,59,0.642338037491,1,137,15.9416058394,1,139,1029.74656505,1106
3,70842.0,1,0,0,8,48,0.663378000259,1,137,16.102189781,1,139,1024.63653929,1107
1,72366.0,1,0,0,9,85,0.654029130936,0,137,11.8686131387,1,139,499.379669386,1108
2,0.0,1,0,0,9,-1,0.080146074295,1,1,0.0,0,0,nan,1109
3,70820.0,1,0,0,9,60,0.640408992767,1,137,15.3868613139,1,139,918.930120223,1110
1,72255.5,1,0,1,0,87,0.653636932373,1,137,13.0145985401,0,139,722.77919708,1111
2,70823.0,1,0,1,0,60,0.639178037643,1,137,15.4671532847,1,139,937.691927866,1112
3,70837.0,1,0,1,0,55,0.631893873215,1,137,16.0656934307,1,139,1025.81182911,1113
1,72302.0,1,0,1,1,73,0.677773952484,1,137,12.6934306569,1,139,621.052382997,1114
2,0.0,1,0,1,1,-1,0.0814809799194,1,1,0.0,0,0,nan,1115
3,0.0,1,0,1,1,-1,0.0904982089996,1,1,0.0,0,0,nan,1116
1,72322.0,1,0,1,2,80,0.656471014023,1,137,12.204379562,1,139,513.92851009,1117
2,0.0,1,0,1,2,-1,0.0985469818115,1,1,0.0,0,0,nan,1118
3,0.0,1,0,1,2,-1,0.086287021637,1,1,0.0,0,0,nan,1119
1,72302.5,1,0,1,3,87,0.655859947205,1,137,12.7883211679,0,139,633.300450837,1120
2,70821.5,1,0,1,3,65,0.655080795288,1,137,15.4671532847,1,139,921.044869043,1121
3,0.0,1,0,1,3,-1,0.0863718986511,1,1,0.0,0,0,nan,1122
1,72321.5,1,0,1,4,87,0.658314943314,1,137,12.6642335766,0,139,532.60702018,1123
2,0.0,1,0,1,4,-1,0.0995199680328,1,1,0.0,0,0,nan,1124
3,70827.5,1,0,1,4,68,0.631443977356,1,137,15.6496350365,1,139,923.038106483,1125
