0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,34,4,52,33,32,5,18,17,31,30,19,16,35,67,65,29,28,27,54,55,56,57,50,51,26,15,12,22,44,10,9,66,36,37,38,39,14,8,49,48,40,7,23,25,41,53,24,62,61,60,59,58,42,43,13,45,46,2,21,47,11,63,64,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,20,19,7,17,28,8,21,6,29,27,3,10,30,32,33,52,18,46,45,44,43,42,22,16,50,15,23,34,24,14,41,40,53,61,60,59,58,N/A,64,63,62,12,2,13,31,26,47,37,38,48,35,36,54,55,57,56,39,25,5,49,11,N/A,51,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,15,14,39,13,3,27,4,31,30,29,28,7,6,53,52,8,24,25,59,58,57,56,55,54,51,44,49,48,47,46,45,50,23,22,21,20,5,35,37,36,12,38,42,16,34,65,9,64,63,62,61,60,19,18,17,11,32,33,2,43,41,67,66,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,41,39,50,19,22,7,1,40,21,8,20,23,6,63,62,42,44,45,61,58,59,60,51,54,25,10,29,31,30,37,38,64,32,33,34,35,36,24,48,47,28,3,49,15,9,46,43,57,56,55,52,53,11,12,18,17,13,16,26,27,2,67,65,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,34,13,24,9,22,21,25,12,35,20,15,11,33,63,64,36,26,37,56,57,58,59,27,23,38,4,17,18,19,1,16,65,39,40,41,42,43,10,53,54,46,5,8,7,45,28,44,60,61,62,51,52,47,48,49,50,30,29,14,31,3,67,66,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,22,21,48,20,33,34,1,4,32,29,3,15,27,62,61,25,24,26,52,51,50,49,47,53,46,36,45,44,43,37,42,60,8,9,10,11,12,14,41,40,38,7,35,13,66,63,31,59,58,57,56,55,16,17,18,19,28,30,23,39,6,65,54,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,9,8,1,6,5,4,10,14,13,11,12,15,28,29,36,37,38,39,61,62,63,64,19,54,52,20,21,23,22,7,32,67,45,46,48,47,49,33,56,57,51,16,17,18,53,30,50,58,59,60,34,35,41,42,43,44,31,24,25,40,27,65,66,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,25,24,49,23,26,14,7,19,22,20,21,5,15,31,30,38,37,36,53,52,51,50,12,59,58,10,57,56,55,9,54,29,48,47,46,45,44,1,18,17,35,16,11,2,32,28,34,66,65,64,63,62,43,42,41,40,13,33,3,61,4,67,60,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,9,2,1,50,10,4,3,21,20,22,19,18,12,49,64,63,13,5,6,52,53,54,55,51,62,39,37,38,42,41,44,43,61,14,15,16,17,23,30,33,32,11,40,45,46,31,47,7,60,59,58,57,56,29,28,27,26,25,34,24,48,35,67,66,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,12,11,8,13,3,10,14,16,17,12,15,25,66,65,64,63,62,31,61,60,59,58,9,57,26,5,21,22,23,4,30,56,32,33,34,35,36,27,54,55,29,20,19,39,40,38,37,51,52,53,41,18,45,46,47,48,44,43,7,42,6,49,50,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,32,31,20,48,41,29,33,26,45,30,28,25,34,19,52,53,27,44,17,54,55,56,57,47,50,7,2,10,9,11,1,8,59,14,15,16,21,22,24,61,62,40,42,5,4,39,49,18,63,64,60,51,58,13,37,36,35,12,43,23,6,3,67,65,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,17,22,7,3,6,16,27,28,30,26,29,11,60,39,35,43,44,48,10,13,12,23,2,57,37,5,51,34,40,8,24,46,45,50,53,47,49,1,18,15,52,14,9,21,62,63,58,31,25,32,41,42,54,55,56,59,61,64,33,36,4,65,66,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,14,10,54,15,20,9,23,19,16,24,4,6,25,55,56,13,18,26,63,64,65,66,53,52,44,51,43,42,41,39,40,57,32,33,34,35,36,7,47,46,48,3,45,5,17,59,12,60,61,62,49,50,28,29,30,31,21,37,27,38,1,67,58,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,15,7,41,16,17,18,40,39,38,37,24,36,19,35,34,33,32,31,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,23,22,8,29,28,27,11,26,20,25,30,3,62,59,61,60,63,6,5,9,12,4,10,1,64,2,66,65,21
7,7,7,15,6,6,9,9,8,5,3,3,3,3,3,11,11,17,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,2,14,14,8,3,16,12,12,18,,,19,21,22,23,54,24,3,15,25,2,26,27,20,14,26,63,62,29,1,30,51,50,49,48,52,53,9,13,12,12,12,10,11,61,31,32,33,34,35,7,46,47,36,17,11,5,36,64,38,55,56,57,58,59,39,40,41,42,16,43,44,8,18,45,60,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,13,9,7,3,8,10,5,4,12,11,6,18,38,64,65,36,34,37,61,62,59,60,30,33,41,23,25,27,26,28,29,66,42,43,44,45,46,56,50,51,49,16,15,35,52,53,39,57,58,63,32,31,20,47,21,22,48,24,19,40,17,55,67,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,23,33,22,39,13,32,24,14,25,12,11,26,27,30,37,38,31,21,34,45,44,43,42,41,40,7,6,2,1,3,5,4,46,15,19,16,18,17,29,35,36,20,8,10,59,55,66,57,65,64,63,62,61,51,52,53,54,58,50,49,47,48,60,67,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,11,10,56,9,7,12,2,8,5,4,6,13,39,15,14,36,37,38,57,58,59,60,62,61,54,49,53,52,51,50,48,44,21,22,23,24,25,40,41,42,35,16,27,43,26,46,34,63,64,65,67,66,28,29,30,31,32,20,33,55,18,47,45,19
